state,action,reward,sprime,aprime
64,8,0.000000,5,72
72,5,0.000000,5,72
72,5,0.000000,5,120
120,5,0.000000,5,104
104,5,0.000000,5,104
104,5,0.000000,6,104
104,6,0.000000,6,104
104,6,0.000000,4,104
104,4,0.000000,0,88
88,0,1.000000,0,88
88,0,0.000000,4,72
72,4,1.000000,7,8
8,7,1.000000,7,8
8,7,1.000000,4,72
72,4,0.000000,3,136
136,3,0.000000,3,136
136,3,0.000000,8,72
72,8,0.000000,9,56
56,9,0.000000,7,57
57,7,0.000000,6,121
121,6,0.000000,1,121
121,1,0.000000,6,137
137,6,0.000000,6,89
89,6,0.000000,8,41
41,8,0.000000,5,89
89,5,0.000000,5,89
121,2,0.000000,1,105
105,1,0.000000,1,105
105,1,0.000000,8,25
25,8,0.000000,5,41
41,5,0.000000,5,41
41,5,0.000000,0,121
121,0,0.000000,0,105
105,0,0.000000,0,105
105,0,0.000000,0,9
9,0,0.000000,0,9
9,0,0.000000,5,9
9,5,1.000000,5,9
9,5,1.000000,5,9
9,5,1.000000,6,105
105,6,1.000000,6,105
105,6,1.000000,6,105
105,6,1.000000,0,89
89,0,1.000000,4,81
59,0,0.000000,2,41
41,2,0.000000,4,73
73,4,0.000000,9,9
9,9,0.000000,4,24
24,4,0.000000,0,72
72,0,0.000000,0,72
72,0,0.000000,2,72
72,2,0.000000,3,8
8,3,0.000000,3,8
8,3,0.000000,9,24
24,9,0.000000,8,57
57,8,0.000000,8,57
57,8,0.000000,2,57
57,2,0.000000,4,121
121,4,0.000000,4,121
121,4,0.000000,6,25
25,6,0.000000,1,73
73,1,0.000000,1,73
73,1,0.000000,7,89
89,7,0.000000,0,41
41,0,0.000000,0,41
41,0,0.000000,9,137
137,9,0.000000,4,8
8,4,0.000000,4,8
8,4,0.000000,0,8
8,0,0.000000,7,72
72,7,0.000000,7,72
72,7,0.000000,9,8
8,9,0.000000,0,137
137,0,0.000000,0,137
137,0,0.000000,8,137
137,8,0.000000,3,9
9,3,0.000000,3,9
9,3,0.000000,8,121
121,8,0.000000,6,57
57,6,0.000000,6,57
57,6,0.000000,3,121
121,3,0.000000,9,89
89,9,0.000000,1,88
88,1,0.000000,5,56
56,5,0.000000,5,56
56,5,0.000000,7,40
