state,action,reward,sprime,aprime,state,action,reward,sprime,aprime,state,action,reward,sprime,aprime,state,action,reward,sprime,aprime,state,action,reward,sprime,aprime,state,action,reward,sprime,aprime,state,action,reward,sprime,aprime,state,action,reward,sprime,aprime
0,2,0,2,15,0,2,0,2,15,0,2,0,2,15,0,2,0,2,15,0,2,0,2,15,0,2,0,2,15,0,2,0,2,15,0,2,0,2,15
15,2,0,2,15,15,2,0,2,15,15,2,0,2,15,15,2,0,2,15,15,2,0,2,15,15,2,0,2,15,15,2,0,2,15,15,2,0,2,15
15,2,0,0,15,15,2,0,0,15,15,2,0,0,15,15,2,0,0,15,15,2,0,0,15,15,2,0,0,15,15,2,0,0,15,15,2,0,0,15
15,0,0,0,15,15,0,0,0,15,15,0,0,0,15,15,0,0,0,15,15,0,0,0,15,15,0,0,0,15,15,0,0,0,15,15,0,0,0,15
15,0,0,0,15,15,0,0,0,15,15,0,0,0,15,15,0,0,0,15,15,0,0,0,15,15,0,0,0,15,15,0,0,0,15,15,0,0,0,15
15,0,0,3,15,15,0,0,3,15,15,0,0,3,15,15,0,0,3,15,15,0,0,3,15,15,0,0,3,15,15,0,8,1,31,15,0,0,3,15
15,3,0,1,15,15,3,0,1,15,15,3,0,1,15,15,3,0,1,15,15,3,32,1,31,15,3,0,1,15,31,1,56,1,63,15,3,0,1,15
15,1,7,0,7,15,1,0,0,15,15,1,0,0,15,15,1,7,0,7,31,1,24,0,15,15,1,0,0,15,63,1,48,0,31,15,1,0,0,15
7,0,2,3,15,15,0,0,3,15,15,0,1,3,15,7,0,2,3,15,15,0,0,1,15,15,0,0,3,15,31,0,56,0,31,15,0,5,3,15
15,3,0,3,15,15,3,0,3,15,15,3,0,3,15,15,3,0,3,15,15,1,0,1,15,15,3,0,3,15,31,0,56,2,31,15,3,0,3,15
15,3,13,2,14,15,3,10,2,14,15,3,9,2,14,15,3,17,2,14,15,1,0,2,15,15,3,13,2,14,31,2,48,2,31,15,3,13,2,14
14,2,22,2,15,14,2,27,2,14,14,2,21,2,15,14,2,4,2,15,15,2,0,2,15,14,2,8,2,15,31,2,56,2,31,14,2,19,2,15
15,2,0,0,15,14,2,0,0,15,15,2,0,0,15,15,2,0,0,15,15,2,0,0,15,15,2,0,0,15,31,2,48,0,31,15,2,0,0,15
15,0,0,0,15,15,0,0,1,15,15,0,0,1,15,15,0,0,0,15,15,0,0,1,15,15,0,0,1,15,31,0,56,2,63,15,0,0,1,15
15,0,0,2,15,15,1,0,1,15,15,1,0,1,15,15,0,0,2,15,15,1,48,0,31,15,1,0,1,15,63,2,56,2,63,15,1,0,1,15
15,2,0,3,15,15,1,0,3,15,15,1,0,3,15,15,2,0,3,15,31,0,48,3,31,15,1,0,3,15,63,2,48,3,63,15,1,0,3,15
15,3,0,1,15,15,3,0,1,15,15,3,0,1,15,15,3,0,1,15,31,3,56,1,31,15,3,0,1,15,63,3,56,1,47,15,3,0,1,15
15,1,6,1,7,15,1,0,1,15,15,1,0,1,15,15,1,6,1,15,31,1,48,1,15,15,1,0,1,15,47,1,0,1,15,15,1,0,1,15
7,1,2,0,15,15,1,0,2,15,15,1,0,2,15,15,1,0,0,15,15,1,0,2,15,15,1,0,2,15,15,1,0,3,15,15,1,0,2,15
15,0,0,0,15,15,2,0,2,15,15,2,0,2,15,15,0,0,0,15,15,2,0,2,15,15,2,0,2,15,15,3,0,3,15,15,2,0,2,15
15,0,0,0,15,15,2,0,0,15,15,2,0,0,15,15,0,0,0,15,15,2,0,0,15,15,2,0,0,15,15,3,0,0,15,15,2,0,0,15
15,0,0,0,15,15,0,0,2,15,15,0,0,2,15,15,0,0,0,15,15,0,0,0,15,15,0,0,0,15,15,0,0,1,15,15,0,0,2,15
15,0,0,0,15,15,2,0,2,15,15,2,0,2,15,15,0,31,1,14,15,0,32,2,31,15,0,0,2,15,15,1,0,1,15,15,2,0,2,15
15,0,40,1,31,15,2,0,2,15,15,2,0,2,15,14,1,23,2,14,31,2,56,2,31,15,2,0,2,15,15,1,0,2,15,15,2,0,2,15
31,1,56,3,31,15,2,0,3,15,15,2,0,3,15,14,2,5,3,14,31,2,48,3,31,15,2,0,3,15,15,2,0,3,15,15,2,0,3,15
31,3,56,3,31,15,3,0,3,15,15,3,0,3,15,14,3,7,3,14,31,3,56,3,31,15,3,0,3,15,15,3,0,3,15,15,3,0,3,15
31,3,8,3,15,15,3,0,3,15,15,3,0,3,15,14,3,26,3,14,31,3,8,3,15,15,3,0,3,15,15,3,0,3,15,15,3,0,3,15
15,3,0,2,15,15,3,0,0,15,15,3,0,0,15,14,3,15,0,15,15,3,0,2,15,15,3,0,0,15,15,3,0,1,15,15,3,0,1,15
15,2,0,2,15,15,0,0,2,15,15,0,0,2,15,15,0,0,2,15,15,2,0,2,15,15,0,0,2,15,15,1,0,2,15,15,1,0,2,15
15,2,0,1,15,15,2,0,1,15,15,2,0,1,15,15,2,0,1,15,15,2,0,1,15,15,2,0,1,15,15,2,0,1,15,15,2,0,1,15
15,1,0,3,15,15,1,0,3,15,15,1,0,3,15,15,1,0,3,15,15,1,0,3,15,15,1,0,3,15,15,1,0,3,15,15,1,0,3,15
15,3,0,1,15,15,3,0,1,15,15,3,0,1,15,15,3,0,1,15,15,3,0,1,15,15,3,0,1,15,15,3,0,1,15,15,3,0,1,15
15,1,0,1,15,15,1,0,1,15,15,1,0,1,15,15,1,0,1,15,15,1,0,1,15,15,1,0,1,15,15,1,0,1,15,15,1,0,1,15
15,1,0,2,15,15,1,0,0,15,15,1,0,0,15,15,1,0,0,15,15,1,0,2,15,15,1,0,0,15,15,1,0,2,15,15,1,0,2,15
15,2,0,2,15,15,0,0,0,15,15,0,0,0,15,15,0,0,0,15,15,2,0,2,15,15,0,0,0,15,15,2,0,2,15,15,2,0,2,15
