state,action,reward,sprime,aprime
0,2,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,0,3,15
15,3,1,1,14
14,1,3,0,7
7,0,1,1,15
15,1,0,1,15
15,1,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,2,0,14
14,0,23,0,14
14,0,32,3,14
14,3,17,1,14
14,1,13,1,6
6,1,4,0,14
14,0,2,0,14
14,0,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,10,2,62
62,2,31,3,62
62,3,50,3,47
47,3,20,3,15
15,3,0,1,15
15,1,0,2,15
15,2,0,1,15
15,1,0,3,15
15,3,0,1,15
15,1,0,1,15
15,1,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,1,15
15,1,0,0,15
15,0,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,6,3,14
14,3,17,3,14
14,3,16,3,14
14,3,27,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,2,15
15,2,0,3,15
15,3,0,0,15
15,0,0,2,15
15,2,0,2,15
15,2,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,2,15
15,2,0,2,15
15,2,0,1,15
15,1,0,0,15
15,0,0,0,15
15,0,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,3,15
15,3,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,3,15
15,3,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,3,15
15,3,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,1,15
15,1,0,1,15
15,1,0,0,15
15,0,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,0,15
15,0,0,2,15
15,2,0,2,15
15,2,0,3,15
15,3,0,2,15
15,2,17,0,14
14,0,2,0,14
14,0,23,0,14
14,0,32,0,14
14,0,27,0,14
14,0,13,2,15
15,2,0,3,15
15,3,0,2,15
15,2,14,3,14
14,3,11,0,14
14,0,16,0,14
14,0,18,0,14
14,0,32,0,14
14,0,26,0,14
14,0,31,0,14
14,0,31,0,14
14,0,1,1,62
62,1,42,0,62
62,0,48,3,30
30,3,38,1,62
62,1,40,2,14
14,2,3,2,15
15,2,1,3,14
14,3,5,0,14
14,0,14,0,14
14,0,19,0,14
14,0,17,2,62
62,2,29,2,62
62,2,52,1,46
46,1,55,1,46
46,1,24,2,14
14,2,9,2,46
46,2,9,2,14
14,2,2,2,14
14,2,1,3,14
14,3,10,3,14
14,3,21,0,15
15,0,25,1,15
15,1,20,0,12
12,0,16,0,12
12,0,40,0,12
12,0,11,3,46
46,3,34,3,62
