state,action,reward,sprime,aprime
0,2,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,0,0,15
15,0,0,0,15
15,0,8,1,31
31,1,56,1,63
63,1,48,0,31
31,0,56,0,31
31,0,56,2,31
31,2,48,2,31
31,2,56,2,31
31,2,48,0,31
31,0,56,2,63
63,2,56,2,63
63,2,48,3,63
63,3,56,1,47
47,1,0,1,15
15,1,0,3,15
15,3,0,3,15
15,3,0,0,15
15,0,0,1,15
15,1,0,1,15
15,1,0,2,15
15,2,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,1,15
15,1,0,2,15
15,2,0,1,15
15,1,0,3,15
15,3,0,1,15
15,1,0,1,15
15,1,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,1,15
15,1,0,0,15
15,0,0,2,15
15,2,0,2,15
15,2,0,0,15
15,0,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,2,15
15,2,0,3,15
15,3,0,0,15
15,0,0,2,15
15,2,2,2,15
15,2,0,1,15
15,1,0,2,15
15,2,0,1,15
15,1,0,2,15
15,2,0,2,15
15,2,0,1,15
15,1,0,0,15
15,0,0,0,15
15,0,0,2,15
15,2,0,2,15
15,2,0,1,14
14,1,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,0,2,15
15,2,1,0,14
14,0,6,0,14
14,0,3,3,62
62,3,36,2,62
62,2,30,2,14
14,2,4,2,14
14,2,2,3,14
14,3,12,0,12
12,0,34,0,12
12,0,34,3,12
12,3,40,0,12
12,0,0,2,12
12,2,38,3,12
12,3,6,3,12
12,3,72,1,8
8,1,78,1,8
8,1,21,3,8
8,3,16,1,12
12,1,44,1,12
12,1,10,0,12
12,0,12,2,12
12,2,26,2,14
14,2,5,2,12
12,2,0,0,12
12,0,16,2,8
8,2,42,2,12
12,2,9,3,8
8,3,21,2,8
8,2,57,2,8
8,2,12,0,8
8,0,12,3,9
9,3,34,3,9
9,3,52,3,9
9,3,77,2,9
9,2,44,3,9
9,3,22,1,9
9,1,32,3,11
11,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,3,15
15,3,0,0,15
15,0,4,2,7
7,2,4,1,15
15,1,0,0,15
15,0,0,3,15
15,3,0,1,15
15,1,3,2,7
7,2,2,1,15
15,1,0,3,15
15,3,0,3,15
15,3,0,0,15
15,0,18,1,14
14,1,9,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,1,15
15,1,0,2,15
15,2,0,1,15
15,1,48,0,47
47,0,0,0,15
15,0,48,1,47
47,1,48,0,63
63,0,56,0,63
63,0,56,0,63
63,0,48,3,63
63,3,56,3,63
